tw;kw;rep;time
4;2;1;38.00
8;2;1;20.00
4;2;2;37.00
8;2;2;20.00
4;2;3;37.00
8;2;3;20.00
4;2;4;37.00
8;2;4;20.00
4;2;5;38.00
8;2;5;20.00
4;2;6;37.00
8;2;6;19.00
4;2;7;37.00
8;2;7;19.00
4;2;8;37.00
8;2;8;21.00
4;2;9;37.00
8;2;9;19.00
4;2;10;41.00
8;2;10;20.00
4;2;11;37.00
8;2;11;20.00
4;2;12;37.00
8;2;12;19.00
4;2;13;37.00
8;2;13;20.00
4;2;14;39.00
8;2;14;19.00
4;2;15;37.00
8;2;15;19.00
4;2;16;37.00
8;2;16;19.00
18;2;1;23.00
4;4;1;143.00
8;4;1;75.00
4;4;2;120.00
8;4;2;53.00
4;4;3;141.00
8;4;3;53.00
4;4;4;142.00
8;4;4;86.00
4;4;5;142.00
8;4;5;73.00
4;4;6;126.00
8;4;6;74.00
4;4;7;145.00
8;4;7;53.00
4;4;8;103.00
8;4;8;53.00
4;4;9;133.00
8;4;9;73.00
4;4;10;121.00
8;4;10;74.00
4;4;11;118.00
8;4;11;73.00
4;4;12;144.00
8;4;12;52.00
4;4;13;140.00
8;4;13;52.00
4;4;14;140.00
8;4;14;72.00
4;4;15;143.00
8;4;15;72.00
4;4;16;141.00
8;4;16;53.00
18;4;1;74.00
4;6;1;250.00
8;6;1;143.00
4;6;2;244.00
8;6;2;153.00
4;6;3;229.00
8;6;3;117.00
4;6;4;230.00
8;6;4;157.00
4;6;5;288.00
8;6;5;164.00
4;6;6;275.00
8;6;6;117.00
4;6;7;283.00
8;6;7;117.00
4;6;8;287.00
8;6;8;157.00
4;6;9;229.00
8;6;9;116.00
4;6;10;257.00
8;6;10;130.00
4;6;11;228.00
8;6;11;116.00
4;6;12;271.00
8;6;12;161.00
4;6;13;227.00
8;6;13;163.00
4;6;14;228.00
8;6;14;115.00
4;6;15;227.00
8;6;15;142.00
4;6;16;228.00
8;6;16;121.00
18;6;1;154.00
4;8;1;461.00
8;8;1;207.00
4;8;2;410.00
8;8;2;228.00
4;8;3;405.00
8;8;3;206.00
4;8;4;406.00
8;8;4;208.00
4;8;5;406.00
8;8;5;255.00
4;8;6;454.00
8;8;6;251.00
4;8;7;433.00
8;8;7;250.00
4;8;8;447.00
8;8;8;250.00
4;8;9;409.00
8;8;9;206.00
4;8;10;458.00
8;8;10;209.00
4;8;11;405.00
8;8;11;207.00
4;8;12;442.00
8;8;12;263.00
4;8;13;463.00
8;8;13;266.00
4;8;14;407.00
8;8;14;205.00
4;8;15;405.00
8;8;15;260.00
4;8;16;464.00
8;8;16;245.00
18;8;1;208.00
4;10;1;680.00
8;10;1;361.00
4;10;2;673.00
8;10;2;383.00
4;10;3;636.00
8;10;3;390.00
4;10;4;637.00
8;10;4;324.00
4;10;5;637.00
8;10;5;336.00
4;10;6;635.00
8;10;6;395.00
4;10;7;668.00
8;10;7;381.00
4;10;8;637.00
8;10;8;375.00
4;10;9;637.00
8;10;9;369.00
4;10;10;681.00
8;10;10;383.00
4;10;11;659.00
8;10;11;322.00
4;10;12;690.00
8;10;12;384.00
4;10;13;630.00
8;10;13;377.00
4;10;14;634.00
8;10;14;319.00
4;10;15;687.00
8;10;15;371.00
4;10;16;672.00
8;10;16;379.00
18;10;1;325.00
4;12;1;975.00
8;12;1;517.00
4;12;2;961.00
8;12;2;466.00
4;12;3;916.00
8;12;3;523.00
4;12;4;924.00
8;12;4;521.00
4;12;5;917.00
8;12;5;516.00
4;12;6;951.00
8;12;6;465.00
4;12;7;911.00
8;12;7;464.00
4;12;8;917.00
8;12;8;525.00
4;12;9;925.00
8;12;9;514.00
4;12;10;926.00
8;12;10;529.00
4;12;11;916.00
8;12;11;502.00
4;12;12;922.00
8;12;12;507.00
4;12;13;986.00
8;12;13;523.00
4;12;14;920.00
8;12;14;510.00
4;12;15;949.00
8;12;15;515.00
4;12;16;918.00
8;12;16;528.00
18;12;1;530.00
4;14;1;1297.00
8;14;1;640.00
4;14;2;1272.00
8;14;2;697.00
4;14;3;1300.00
8;14;3;638.00
4;14;4;1259.00
8;14;4;697.00
4;14;5;1258.00
8;14;5;641.00
4;14;6;1253.00
8;14;6;655.00
4;14;7;1300.00
8;14;7;690.00
4;14;8;1259.00
8;14;8;666.00
4;14;9;1308.00
8;14;9;635.00
4;14;10;1304.00
8;14;10;698.00
4;14;11;1247.00
8;14;11;636.00
4;14;12;1254.00
8;14;12;671.00
4;14;13;1244.00
8;14;13;635.00
4;14;14;1252.00
8;14;14;659.00
4;14;15;1302.00
8;14;15;635.00
4;14;16;1291.00
8;14;16;666.00
18;14;1;698.00
16;2;1;15.00
32;2;1;22.00
16;2;2;20.00
32;2;2;21.00
16;2;3;20.00
32;2;3;21.00
16;2;4;19.00
32;2;4;21.00
16;2;5;21.00
32;2;5;21.00
16;2;6;19.00
32;2;6;20.00
16;2;7;20.00
32;2;7;20.00
16;2;8;20.00
32;2;8;20.00
16;2;1;23.00
16;4;1;73.00
32;4;1;77.00
16;4;2;75.00
32;4;2;78.00
16;4;3;67.00
32;4;3;74.00
16;4;4;74.00
32;4;4;71.00
16;4;5;75.00
32;4;5;77.00
16;4;6;61.00
32;4;6;74.00
16;4;7;61.00
32;4;7;58.00
16;4;8;73.00
32;4;8;66.00
16;4;1;67.00
16;6;1;122.00
32;6;1;132.00
16;6;2;118.00
32;6;2;119.00
16;6;3;149.00
32;6;3;166.00
16;6;4;163.00
32;6;4;166.00
16;6;5;118.00
32;6;5;120.00
16;6;6;163.00
32;6;6;155.00
16;6;7;116.00
32;6;7;156.00
16;6;8;117.00
32;6;8;116.00
16;6;1;118.00
16;8;1;259.00
32;8;1;211.00
16;8;2;208.00
32;8;2;209.00
16;8;3;208.00
32;8;3;207.00
16;8;4;275.00
32;8;4;265.00
16;8;5;209.00
32;8;5;212.00
16;8;6;233.00
32;8;6;247.00
16;8;7;235.00
32;8;7;201.00
16;8;8;207.00
32;8;8;204.00
16;8;1;208.00
16;10;1;325.00
32;10;1;378.00
16;10;2;325.00
32;10;2;325.00
16;10;3;368.00
32;10;3;368.00
16;10;4;367.00
32;10;4;375.00
16;10;5;325.00
32;10;5;329.00
16;10;6;379.00
32;10;6;328.00
16;10;7;320.00
32;10;7;314.00
16;10;8;323.00
32;10;8;319.00
16;10;1;325.00
16;12;1;529.00
32;12;1;471.00
16;12;2;467.00
32;12;2;467.00
16;12;3;533.00
32;12;3;463.00
16;12;4;464.00
32;12;4;467.00
16;12;5;468.00
32;12;5;518.00
16;12;6;509.00
32;12;6;495.00
16;12;7;501.00
32;12;7;451.00
16;12;8;517.00
32;12;8;457.00
16;12;1;538.00
16;14;1;649.00
32;14;1;701.00
16;14;2;635.00
32;14;2;691.00
16;14;3;680.00
32;14;3;630.00
16;14;4;694.00
32;14;4;637.00
16;14;5;695.00
32;14;5;642.00
16;14;6;626.00
32;14;6;617.00
16;14;7;625.00
32;14;7;682.00
16;14;8;680.00
32;14;8;1.00
16;14;1;690.00

